Date,Open,High,Low,Close,Adj Close,Volume
5/29/2019,6.5,6.78,6.04,6.25,6.25,544300
5/30/2019,6.2,6.45,6.02,6.15,6.15,175700
5/31/2019,6,6.13,5.76,5.79,5.79,99600
6/3/2019,5.75,8.88,5.53,7.36,7.36,4093000
6/4/2019,6.92,7.42,6.63,7.3,7.3,401100
6/5/2019,7.23,8.4,7.05,7.21,7.21,399800
6/6/2019,7.14,7.63,7.05,7.6,7.6,91300
6/7/2019,7.6,8.25,7.19,7.3,7.3,186100
6/10/2019,7.26,7.5,6.5,6.52,6.52,229200
6/11/2019,6.53,7,6.51,6.65,6.65,107100
6/12/2019,6.58,6.65,6.33,6.34,6.34,56400
6/13/2019,6.33,6.79,6.26,6.68,6.68,76400
6/14/2019,6.68,6.68,6.25,6.49,6.49,71000
6/17/2019,6.53,7.08,6.4,6.4,6.4,70000
6/18/2019,6.43,6.74,6.1,6.24,6.24,105900
6/19/2019,6.18,6.98,6.07,6.13,6.13,238700
6/20/2019,6.39,6.63,6.17,6.33,6.33,190500
6/21/2019,6.3,6.57,6.3,6.46,6.46,63500
6/24/2019,6.46,6.81,6.46,6.67,6.67,83000
6/25/2019,6.72,7.71,6.72,7.42,7.42,463800
6/26/2019,7.27,7.77,6.79,6.81,6.81,123300
6/27/2019,6.81,7.35,6.81,7.07,7.07,54200
6/28/2019,7.2,7.38,6.85,7.32,7.32,277700
7/1/2019,7.32,7.56,7,7.12,7.12,94900
7/2/2019,7.06,7.66,6.87,7.1,7.1,82100
7/3/2019,7.15,7.15,6.88,6.98,6.98,29700
7/5/2019,7.05,7.32,6.9,6.94,6.94,66100
7/8/2019,6.94,7.07,6.63,6.79,6.79,45600
7/9/2019,6.75,6.97,6.66,6.86,6.86,21000
7/10/2019,6.9,7.1,6.82,6.9,6.9,13600
7/11/2019,6.95,7.1,6.85,6.87,6.87,100500
7/12/2019,6.92,7.04,6.83,6.84,6.84,49400
7/15/2019,6.85,6.96,6.7,6.96,6.96,22000
7/16/2019,6.9,7.5,6.82,7.2,7.2,223200
7/17/2019,7.26,7.34,6.88,7.2,7.2,77800
7/18/2019,7.15,7.27,6.87,6.92,6.92,17800
7/19/2019,6.98,7.17,6.9,6.9,6.9,20600
7/22/2019,6.85,7.14,6.79,7.14,7.14,55900
7/23/2019,7.05,7.17,6.79,6.84,6.84,58900
7/24/2019,6.84,6.95,6.72,6.91,6.91,16000
7/25/2019,6.88,7.01,6.67,6.98,6.98,49500
7/26/2019,6.91,6.95,6.76,6.8,6.8,12400
7/29/2019,6.95,6.95,6.6,6.61,6.61,43100
7/30/2019,6.64,6.88,6.6,6.88,6.88,30800
7/31/2019,6.8,6.96,6.6,6.85,6.85,34100
8/1/2019,6.9,6.92,6.18,6.35,6.35,59600
8/2/2019,6.79,6.79,6,6.12,6.12,51500
8/5/2019,6.2,6.62,6.06,6.54,6.54,51000
8/6/2019,6.53,6.53,6,6.06,6.06,20100
8/7/2019,6.15,6.33,6,6.14,6.14,28300
8/8/2019,6.06,6.37,5.8,6,6,28500
8/9/2019,6.08,6.14,5.82,6.14,6.14,9100
8/12/2019,6.08,6.13,5.86,5.88,5.88,29500
8/13/2019,5.92,6.13,5.8,6.11,6.11,26700
8/14/2019,5.89,6.04,5.64,5.67,5.67,40200
8/15/2019,5.74,5.77,5.55,5.55,5.55,26700
8/16/2019,5.61,6.29,5.38,5.64,5.64,231100
8/19/2019,5.63,5.69,5.25,5.25,5.25,55700
8/20/2019,5.28,5.31,4.89,4.95,4.95,88300
8/21/2019,5.09,5.38,4.96,5.35,5.35,102700
8/22/2019,5.35,5.89,5.06,5.85,5.85,156400
8/23/2019,5.82,5.88,5.37,5.49,5.49,88900
8/26/2019,5.4,5.67,5.25,5.59,5.59,30400
8/27/2019,5.52,5.52,5.23,5.3,5.3,24000
8/28/2019,5.31,5.46,5.15,5.22,5.22,24900
8/29/2019,5.37,5.75,5.33,5.68,5.68,62500
8/30/2019,5.58,5.82,5.39,5.62,5.62,32100
9/3/2019,5.5,5.8,5.2,5.26,5.26,40400
9/4/2019,5.3,5.53,5.23,5.35,5.35,16900
9/5/2019,5.35,5.44,5.19,5.22,5.22,39600
9/6/2019,5.21,5.44,5.2,5.36,5.36,17300
9/9/2019,5.28,5.65,5.23,5.57,5.57,38000
9/10/2019,5.58,5.79,5.41,5.7,5.7,63500
9/11/2019,7,7.44,6.16,6.45,6.45,2259800
9/12/2019,6.06,6.3,5.81,6.18,6.18,180600
9/13/2019,6.14,6.29,5.95,6.08,6.08,44400
9/16/2019,6.06,6.47,6.01,6.43,6.43,55500
9/17/2019,6.12,6.4,5.93,5.93,5.93,67100
9/18/2019,5.91,6.13,5.65,5.79,5.79,76400
9/19/2019,5.77,5.83,5.51,5.74,5.74,62400
9/20/2019,5.64,5.78,5.51,5.63,5.63,41600
9/23/2019,5.52,5.72,5.41,5.67,5.67,56800
9/24/2019,5.63,5.66,5.41,5.5,5.5,38800
9/25/2019,5.45,5.52,5.37,5.4,5.4,11900
9/26/2019,5.6,5.6,5.24,5.29,5.29,17800
9/27/2019,5.51,5.51,5.2,5.36,5.36,11900
9/30/2019,5.35,5.41,5.15,5.35,5.35,19900
10/1/2019,5.09,5.5,5.09,5.36,5.36,10900
10/2/2019,5.19,5.33,5.06,5.06,5.06,19300
10/3/2019,5.04,5.34,4.9,5.34,5.34,47400
10/4/2019,5.23,5.6,5.02,5.12,5.12,57100
10/7/2019,5.24,5.39,5.05,5.39,5.39,14600
10/8/2019,5.04,5.37,5.04,5.32,5.32,6200
10/9/2019,5.15,5.28,5.05,5.09,5.09,28400
10/10/2019,5.08,5.3,4.99,5.3,5.3,35000
10/11/2019,5.3,5.42,5.11,5.14,5.14,19600
10/14/2019,5.2,5.2,5.01,5.01,5.01,21400
10/15/2019,5.14,5.74,5.06,5.06,5.06,54400
10/16/2019,5.12,5.65,5.06,5.32,5.32,54600
10/17/2019,5.35,5.65,5.3,5.32,5.32,21900
10/18/2019,5.33,5.48,5.26,5.36,5.36,8900
10/21/2019,5.38,5.42,5.22,5.39,5.39,9400
10/22/2019,5.2,5.35,5.15,5.3,5.3,11400
10/23/2019,5.23,5.57,5.21,5.57,5.57,51000
10/24/2019,5.62,5.64,5.21,5.3,5.3,31100
10/25/2019,5.42,5.42,5.14,5.33,5.33,17300
10/28/2019,5.46,5.55,5.14,5.14,5.14,31900
10/29/2019,5.16,5.44,5.14,5.21,5.21,23500
10/30/2019,5.31,5.32,5.15,5.28,5.28,11800
10/31/2019,5.19,5.29,4.95,4.95,4.95,23000
11/1/2019,5.26,5.26,5.08,5.12,5.12,9600
