PRODUCE,COST PER POUND,POUNDS SOLD,TOTAL
Potatoes,0.86,21.6,18.58
Okra,2.26,38.6,87.24
Fava beans,2.69,32.8,88.23
Watermelon,0.66,27.3,18.02
Garlic,3.07,4.9,15.04
Parsnips,2.27,1.1,2.5
Asparagus,2.49,37.9,94.37
Avocados,3.23,9.2,29.72
Celery,1.19,28.9,34.39
Okra,2.26,40,90.4
Spinach,4.12,30,123.6
Cucumber,1.07,36,38.52
Apricots,3.71,29.4,109.07
Okra,2.26,9.5,21.47
Fava beans,2.69,5.3,14.26
Watermelon,0.66,35.4,23.36
Ginger,5.13,14.4,73.87
Corn,1.07,12.2,13.05
Grapefruit,0.76,35.7,27.13
Ginger,5.13,15.2,77.98
Eggplant,2.32,5,11.6
Cucumber,1.07,31.8,34.03
Green cabbage,0.8,2.8,2.24
Eggplant,2.32,32.8,76.1
Yellow peppers,2.87,26.5,76.06
Garlic,3.07,38.2,117.27
Grapes,2.63,17.4,45.76
Watermelon,0.66,7.3,4.82
Cherries,9.5,25.6,243.2
Apples,1.88,6.1,11.47
Grapefruit,0.76,21.1,16.04
Grapes,2.63,4.6,12.1
Green beans,2.52,31.1,78.37
Tomatoes,3.16,20.9,66.04
Apricots,3.71,7,25.97
Red onion,0.78,34.1,26.6
Strawberries,4.4,18.5,81.4
Grapes,2.63,39.3,103.36
Ginger,5.13,32,164.16
Strawberries,4.4,32.2,141.68
Fava beans,2.69,21,56.49
Yellow peppers,2.87,32.6,93.56
Papaya,1.34,2.6,3.48
Butternut squash,1.28,29.7,38.02
Apricots,3.71,34.8,129.11
Avocados,3.23,31.1,100.45
Butternut squash,1.28,27.3,34.94
Celery,1.19,24.2,28.8
Bananas,0.86,3,2.58
Lettuce,1.88,8.8,16.54
Carrots,1.26,39.4,49.64
Asparagus,2.49,32.5,80.93
Ginger,5.13,20.4,104.65
Daikon,1.4,29.6,41.44
Lime,1.06,25.2,26.71
Watermelon,0.66,32.8,21.65
Apricots,3.71,2.7,10.02
Green beans,2.52,34.9,87.95
Strawberries,4.4,19.5,85.8
Watermelon,0.66,7.5,4.95
Green peppers,1.89,34.5,65.21
Bananas,0.86,3.4,2.92
Apples,1.88,28.8,54.14
Spinach,4.12,12.8,52.74
Avocados,3.23,10.4,33.59
Okra,2.26,23.9,54.01
Papaya,1.34,19.1,25.59
Beets,1.51,28,42.28
Green beans,2.52,38.5,97.02
Grapefruit,0.76,5.8,4.41
Butternut squash,1.28,14.1,18.05
Parsnips,2.27,33,74.91
Cherries,9.5,11.4,108.3
Papaya,1.34,26.5,35.51
Bananas,0.86,27.2,23.39
Eggplant,2.32,21.2,49.18
Apricots,3.71,25.5,94.61
Eggplant,2.32,30.2,70.06
Coconuts,1.18,35.8,42.24
Grapefruit,0.76,13.3,10.11
Grapes,2.63,14.2,37.35
Avocados,3.23,35.1,113.37
Avocados,3.23,29.6,95.61
Apples,1.88,19,35.72
Daikon,1.4,32.9,46.06
Lime,1.06,30.7,32.54
Lime,1.06,37.5,39.75
Daikon,1.4,3.3,4.62
Garlic,3.07,28.7,88.11
Apples,1.88,9.6,18.05
Orange,1.09,31.9,34.77
Spinach,4.12,22.8,93.94
Okra,2.26,3.1,7.01
Celery,1.19,33.6,39.98
Lemon,1.27,14.2,18.03
Garlic,3.07,38.2,117.27
Spinach,4.12,4.1,16.89
Watermelon,0.66,11.3,7.46
Coconuts,1.18,33.5,39.53
Apricots,3.71,8.5,31.54
Lettuce,1.88,1.6,3.01
Tomatoes,3.16,7.5,23.7
Strawberries,4.4,11.1,48.84
Coconuts,1.18,33.9,40
Parsnips,2.27,14.5,32.92
Brussels sprouts,1.65,11.7,19.31
Celery,1.19,16.1,19.16
Grapes,2.63,20.6,54.18
Coconuts,1.18,38.6,45.55
